"id","customer_id","order_no","order_type","item_name","quantity","price","profit","cost","created_at"
"1","52","20211108013449","Mobile","AAA01","7","70000","14000","56000","2021-11-08 13:34:49"
"2","38","20211108125754","PC","AAA03","7","119000","21000","98000","2021-11-08 12:57:54"
"3","42","20211108113050","Mobile","AAA05","14","840000","280000","560000","2021-11-08 11:30:50"
"4","21","20211108103553","Mobile","AAA01","12","120000","24000","96000","2021-11-08 10:35:53"
"5","49","20211108093811","Shop","AAA04","6","48000","2400","45600","2021-11-08 09:38:11"
"6","47","20211105111925","Shop","AAA04","10","80000","4000","76000","2021-11-05 11:19:25"
"7","30","20211105091311","PC","AAA04","8","64000","3200","60800","2021-11-05 09:13:11"
"8","33","20211105074034","Mobile","AAA05","2","120000","40000","80000","2021-11-05 07:40:34"
"9","58","20211105020832","PC","AAA02","1","15000","2300","12700","2021-11-05 02:08:32"
"10","90","20211104075616","Mobile","AAA02","5","75000","11500","63500","2021-11-04 19:56:16"
"11","75","20211104045003","Shop","AAA03","5","85000","15000","70000","2021-11-04 16:50:03"
"12","40","20211104035226","PC","AAA04","6","48000","2400","45600","2021-11-04 15:52:26"
"13","76","20211104124011","Shop","AAA05","7","420000","140000","280000","2021-11-04 12:40:11"
"14","57","20211104115015","Mobile","AAA03","7","119000","21000","98000","2021-11-04 11:50:15"
"15","41","20211104103534","PC","AAA04","5","40000","2000","38000","2021-11-04 10:35:34"
"16","16","20211104094257","Mobile","AAA01","15","150000","30000","120000","2021-11-04 09:42:57"
"17","70","20211104075335","Shop","AAA03","31","527000","93000","434000","2021-11-04 07:53:35"
"18","28","20211103052623","Shop","AAA02","3","45000","6900","38100","2021-11-03 17:26:23"
"19","64","20211103043831","Mobile","AAA04","2","16000","800","15200","2021-11-03 16:38:31"
"20","65","20211103034026","PC","AAA03","5","85000","15000","70000","2021-11-03 15:40:26"
"21","74","20211103024739","PC","AAA01","9","90000","18000","72000","2021-11-03 14:47:39"
"22","82","20211103011913","PC","AAA05","5","300000","100000","200000","2021-11-03 13:19:13"
"23","20","20211103111719","PC","AAA01","3","30000","6000","24000","2021-11-03 11:17:19"
"24","13","20211103101913","Mobile","AAA03","5","85000","15000","70000","2021-11-03 10:19:13"
"25","4","20211103095437","Mobile","AAA05","5","300000","100000","200000","2021-11-03 09:54:37"
"26","78","20211103090015","Mobile","AAA02","10","150000","23000","127000","2021-11-03 09:00:15"
"27","19","20211103082847","Shop","AAA05","5","300000","100000","200000","2021-11-03 08:28:47"
"28","55","20211103071937","Mobile","AAA04","15","120000","6000","114000","2021-11-03 07:19:37"
"29","83","20211102102545","PC","AAA03","6","102000","18000","84000","2021-11-02 22:25:45"
"30","30","20211102055426","PC","AAA05","1","60000","20000","40000","2021-11-02 17:54:26"
"31","76","20211102050252","Mobile","AAA03","4","68000","12000","56000","2021-11-02 17:02:52"
